original_term;original_term_clean;clean_name;country_origin;holding;studio_location
ACES Game Studio;aces_game_studio;ACES Game Studio;USA;;USA
ACES Studio;aces_game_studio;ACES Game Studio;USA;;USA
ACES Studio/Microsoft Game Studios;aces_game_studio;ACES Game Studio;USA;;USA
Acid Nerve;acid_nerve;Acid Nerve;GBR;;GBR
Acid Wizard Studio;acid_wizard_studio;Acid Wizard Studio;POL;;POL
Acido Cinza;acido_cinza;Acido Cinza;BRA;;BRA
Ackk Studios;ackk_studios;Ackk Studios;USA;;USA
Ackkstudios;ackk_studios;Ackk Studios;USA;;USA
ACME Interactive;acme_interactive;ACME Interactive;USA;;USA
Acolade;accolade;Accolade;FRA;Atari SA;USA
Acornsoft;acornsoft;Acornsoft;GBR;;GBR
ACOT;acot;ACOT;JPN;;JPN
Acquire;acquire;Acquire;JPN;Kadokawa Corporation;JPN
Action Button Entertainment LLC;action_button;Action Button;USA;;USA
Action Forms Ltd.;action_forms;Action Forms;UKR;;UKR
Action Pants Inc.;action_pants_inc;Ubisoft Vancouver;FRA;Ubisoft;CAN
Action937;action937;Action937;USA;;USA
Active;active;Active;JPN;;JPN
Active Data Online Pty Ltd;active_data_online;Active Data Online;AUS;;AUS
Active Enterprises;active_enterprises;Active Enterprises;BHS;;BHS
Active Gaming Media;active_gaming_media;Active Gaming Media;JPN;;JPN
Activision;activision;Activision;USA;Microsoft Corporation;USA
Activision Blizzard;activision_blizzard;Activision Blizzard;USA;Microsoft Corporation;USA
Activision Publishing, Inc.;activision;Activision;USA;Microsoft Corporation;USA
Activision Value;activision_value;Activision Value;USA;Microsoft Corporation;USA
Activision, Inc.;activision;Activision;USA;Microsoft Corporation;USA
Actos Games;actos_games;Actos Games;KOR;;KOR
Actoz Soft;actoz_soft;Actoz Soft;CHN;Shengqu Games;KOR
Acttil;acttil;Acttil;USA;;USA
Actual Entertainment;actual_entertainment;Actual Entertainment;USA;;USA
Acute Entertainment;acute_entertainment;Acute Entertainment;USA;;USA
Acute Entertainment, Inc.,;acute_entertainment;Acute Entertainment;USA;;USA
Adam and Perusse;adam_and_perusse;Adam and Perusse;CAN;;CAN
adamgryu;adamgryu;Adamgryu;CAN;;CAN
Adamgryu;adamgryu;Adamgryu;CAN;;CAN
Adeline Software;adeline_software;Noasis;FRA;;FRA
ADELTA;adelta;ADELTA;JPN;;JPN
ADK;adk_corporation;ADK;JPN;SNK;JPN
ADK Corporation;adk_corporation;ADK;JPN;SNK;JPN
Adrenalin Entertainment;adrenalin;Adrenalin;USA;;USA
Adrenalin Interactive;adrenalin;Adrenalin;USA;;USA
Adrenium;adrenium;Amaze Entertainment;USA;;USA
Adrenium Games;adrenium;Amaze Entertainment;USA;;USA
Adriaan de Jongh;adriaan_de_jongh;Adriaan de Jongh;NLD;;NLD
Adrian Finol;adrian_finol;Adrian Finol;USA;;USA
Adult Dream;adult_dream;Adult Dream;JPN;;JPN
Adult Swim;adult_swim;Adult Swim Games;USA;Warner Bros Discovery;USA
Advance Communication Company;advance_comm;Advance Communication;JPN;;JPN
Advanced Graphics Lab;advanced_graphics;Advanced Graphics;JPN;;JPN
Advanced Interactive Gaming Ltd.;advanced_interactive;Advanced Interactive;GBR;;GBR
Advanced Studio LLC;advanced_studio;Advanced Studio;USA;;USA
Advanced Technology Group;advanced_technology_group;ATG;JPN;Sony Interactive Entertainment;USA
Adventure International;adventure_international;Adventure International;USA;;USA
Adventure International / Scott Adams;adventure_international;Adventure International;USA;;USA
Adventure Planning Service;aps;APS;JPN;;JPN
Adventure Soft;adventure_soft;Adventure Soft;GBR;;GBR
Adventure Soft Publishing Ltd.;adventure_soft;Adventure Soft;GBR;;GBR
Adventuresoft;adventure_soft;Adventure Soft;GBR;;GBR
Aegis International;aegis;Aegis;JPN;;JPN
aeiowu;aeiowu;aeiowu;USA;;USA
