original_term;original_term_clean;clean_name;country_origin;holding;studio_location
Ignition Entertainment;ignition_ent;Ignition Entertainment;IND;UTV Software Communications;USA
Ignition Entertainment - Warthog;ignition_warthog;Ignition Entertainment;GBR;;GBR
IGOR GAFTON;igor_gafton;Igor Gafton;USA;;USA
Igor Migun;igor_migun;Igor Migun;RUS;;RUS
Igor Rashkuev;igor_rashkuev;Igor Rashkuev;RUS;;RUS
Igrodelsky;igrodelsky;Igrodelsky;RUS;;RUS
IGS;igs;International Games System;TWN;;TWN
Iguana Entertaiment;iguana_entertainment;Iguana Entertainment;USA;Acclaim Entertainment;USA
Iguana Entertainment;iguana_entertainment;Iguana Entertainment;USA;Acclaim Entertainment;USA
IguanaÂ Entertainment;iguana_entertainment;Iguana Entertainment;USA;Acclaim Entertainment;USA
I-Illusions;i_illusions;I Illusions;BEL;;BEL
I-Imagine;i_imagine;I Imagine Interactive;ZAF;;ZAF
I-Imagine Interactive;i_imagine;I Imagine Interactive;ZAF;;ZAF
iiWin;ii_win;IIWin;USA;;USA
Ikarion Software;ikarion_software;Ikarion Software;DEU;;DEU
Ikumo vDog;ikumo_vdog;Ikumo vDog;JPN;;JPN
Ikusabune Co., Ltd.;ikusabune;Ikusabune;JPN;;JPN
Ikusabune Inc. / Positron Co., Ltd;ikusabune_positron;Ikusabune;JPN;;JPN
ILCA, Inc.;ilca;ILCA;JPN;;JPN
Ilex Games;ilex_games;Ilex Games;BRA;;BRA
Ilinx;ilinx;Ilinx;JPN;;JPN
IllFonic;illfonic;IllFonic;USA;;USA
illuCalab;illucalab;IlluCalab;JPN;;JPN
Illumination Games;illumination_games;Illumination Games;USA;;USA
Illusion;illusion;Illusion Soft;JPN;;JPN
Illusion Soft;illusion_soft;Illusion Soft;JPN;;JPN
Illusion Softworks;illusion_softworks;2K Czech;USA;Take Two Interactive;CZE
Illusions Game Company;illusions_game;Illusions Game Company;USA;;USA
Illusions Gaming Company;illusions_game;Illusions Game Company;USA;;USA
ILMxLAB;ilmxlab;ILM Immersive;USA;Disney;USA
Ilusis Interactive Graphics;ilusis;Ilusis;BRA;;BRA
Ilya Gubin;ilya_gubin;Ilya Gubin;RUS;;RUS
Ima Company;ima_company;Ima Company;JPN;;JPN
iMackulate Vision Gaming;imackulate_vision;IMackulate Vision;USA;;USA
Imadio;imadio;Imadio;JPN;;JPN
Image & Form Games;image_form;Image & Form;SWE;Thunderful Group;SWE
Image & Form International AB;image_form;Image & Form;SWE;Thunderful Group;SWE
Image Epoch;imageepoch;Imageepoch;JPN;;JPN
Image Labo;image_labo;Image Labo;JPN;;JPN
Image Space Inc.;image_space_inc;Image Space;USA;;USA
Image Space Incorporated;image_space_inc;Image Space;USA;;USA
Image Works;image_works;Image Works;GBR;;GBR
ImageÂ SpaceÂ Inc.;image_space_inc;Image Space;USA;;USA
ImageBuilder Software;imagebuilder_software;ImageBuilder Software;USA;;USA
ImageBuilder Software / Torus Games;imagebuilder_torus;ImageBuilder Software;USA;;USA
imageepoch Inc.;imageepoch;Imageepoch;JPN;;JPN
Images Ltd;images_software;Images Software;GBR;;GBR
Images Software Ltd.;images_software;Images Software;GBR;;GBR
Imagesoft;sony_imagesoft;Sony Imagesoft;JPN;Sony Interactive Entertainment;USA
Imageworks;imageworks;Imageworks;GBR;;GBR
Imagexcel;imagexcel;Imagexcel;USA;;USA
iMAGi Studios;imagi_studios;IMAGi Studios;HKG;;HKG
Imagic;imagic;Imagic;USA;;USA
Imaginary Monsters;imaginary_monsters;Imaginary Monsters;USA;;USA
Imagination Science;imagination_science;Imagination Science;USA;;USA
Imagine Software;imagine_software;Imagine Software;GBR;;GBR
Imagine Studios;imagine_studios;Imagine Studios;GBR;;GBR
Imagineer;imagineer;Imagineer;JPN;Imagineer;JPN
Imagineer Co., Ltd.;imagineer;Imagineer;JPN;Imagineer;JPN
Imagineering;imagineering;Imagineering;USA;Absolute Entertainment;USA
Imagineering Inc;imagineering;Imagineering;USA;Absolute Entertainment;USA
Imagineering Inc.;imagineering;Imagineering;USA;Absolute Entertainment;USA
Imagineering, Inc.;imagineering;Imagineering;USA;Absolute Entertainment;USA
ImaginEngine;imaginengine;ImaginEngine;USA;Foundation 9;USA
ImaginEngine Corp.;imaginengine;ImaginEngine;USA;Foundation 9;USA
Imagitec Design;imagitec_design;Imagitec Design;GBR;;GBR
Imagitec Design, Inc.;imagitec_design;Imagitec Design;GBR;;GBR
imagodespira;imagodespira;Imagodespira;DEU;;DEU
Imangi Studios, LLC;imangi_studios;Imangi Studios;USA;;USA
Imax;i_max;IMax;JPN;;JPN
I'Max;i_max;IMax;JPN;;JPN
iMel;imel;iMel;JPN;;JPN
Imergy;imergy;Imergy;USA;;USA
IMGN PRO;imgn_pro;IMGN PRO;POL;;POL
IMJ Entertainment;imj_entertainment;IMJ Entertainment;JPN;;JPN
Immanitas Entertainment GmbH;immanitas_ent;Immanitas Entertainment;DEU;;DEU
Immersion Software & Graphics;immersion_software;Immersion Games;COL;;COL
Immersive Games;immersive_games;Immersive Games;GBR;;GBR
Immersive VR Education Ltd.;immersive_vr;Immersive VR Education;IRL;;IRL
Impact Gameworks;impact_gameworks;Impact Gameworks;USA;;USA
Imperial Entertainment;imperial_ent;Imperial Entertainment;USA;;USA
Implausible Industries;implausible_ind;Implausible Industries;USA;;USA
Impressions Games;impressions_games;Impressions Games;FRA;Vivendi;USA
Impressionware SRL;impressionware;Impressionware;ITA;;ITA
IMPS;imps;IMPS;BEL;;BEL
Impulse Games;impulse_games;Impulse Games;USA;;USA
Impulse Gear;impulse_gear;Impulse Gear;USA;;USA
In Utero;in_utero;In Utero;FRA;;FRA
In2Games;in2games;In2Games;GBR;;GBR
In2Games / Aqua Pacific;in2games_aqua_pacific;In2Games;GBR;;GBR
inbetweengames;inbetweengames;Inbetweengames;DEU;;DEU
IncaGold;incagold;IncaGold;GBR;;GBR
Incandescent Core, LLC;incandescent_core;Incandescent Core;USA;;USA
Incentive Software Ltd.;incentive_software;Incentive Software;GBR;;GBR
Incinerator Games;incinerator_studios;Incinerator Studios;USA;;USA
Incinerator Studios;incinerator_studios;Incinerator Studios;USA;;USA
Incognito Entertainment;incognito_ent;Incognito Entertainment;JPN;Sony Interactive Entertainment;USA
Incognito Inc.;incognito_ent;Incognito Entertainment;JPN;Sony Interactive Entertainment;USA
Incredible Technologies;incredible_technologies;Incredible Technologies;USA;;USA
Incredible Technologies, Inc.;incredible_technologies;Incredible Technologies;USA;;USA
Increment-P;increment_p;Increment P;JPN;;JPN
Incubator Games;incubator_games;Incubator Games;CAN;;CAN
Incuvo;incuvo;Incuvo;POL;;POL
Indefatigable;indefatigable;Indefatigable;NZL;;NZL
Independent;independent;Independent;USA;;USA
Independent Arts;independent_arts;Independent Arts Software;DEU;;DEU
Independent Arts Software;independent_arts;Independent Arts Software;DEU;;DEU
Independent Arts Software GmbH;independent_arts;Independent Arts Software;DEU;;DEU
Independent Programmist Group;ipg;IPG;RUS;;RUS
Index Digital Media, Inc.;index_digital;Atlus;JPN;Sega Sammy Holdings;USA
Index+;index_plus;Index Plus;FRA;;FRA
Indi;indi;Indi Software;IND;;IND
Indi Software;indi;Indi Software;IND;;IND
Indi Software Co., Ltd.;indi;Indi Software;IND;;IND
Indie Built;indie_built;Indie Built;USA;Take Two Interactive;USA
Indie Studios;indie_studios;Indie Studios;GBR;;GBR
Indie Voyage;indie_voyage;Indie Voyage;NLD;;NLD
Indiecisive Games;indiecisive_games;Indiecisive Games;USA;;USA
indiePub;indiepub;IndiePub;USA;;USA
IndiePubGames;indiepub;IndiePub;USA;;USA
Indies Zero;indieszero;Indieszero;JPN;;JPN
indieszero;indieszero;Indieszero;JPN;;JPN
Indietopia Games;indietopia_games;Indietopia Games;NLD;;NLD
Indimo Labs LLC;indimo_labs;Indimo Labs;USA;;USA
Indirian Software;indirian_software;Indirian Software;USA;;USA
Indy21;indy21;Indy21;JPN;;JPN
Inevitable Entertainment;inevitable_ent;Midway Studios Austin;USA;Warner Bros Discovery;USA
Inferno Games;inferno_games;Inferno Games;USA;;USA
Infinite Dreams Inc.;infinite_dreams;Infinite Dreams;POL;;POL
Infinite Fall;infinite_fall;Infinite Fall;USA;;USA
Infinite Game Publishing;infinite_game_publishing;Infinite Game Publishing;CAN;;CAN
Infinite Interactive;infinite_interactive;Infinite Interactive;AUS;;AUS
Infinite Loop;infinite_loop;Infinite Loop;GBR;;GBR
Infinite Machine;infinite_machine;Infinite Machine;USA;;USA
Infinite State Games;infinite_state_games;Infinite State Games;GBR;;GBR
Infinite Ventures;infinite_ventures;Infinite Ventures;USA;;USA
Infinity;infinity;Infinity;JPN;;JPN
infinity pocket;infinity_pocket;Infinity Pocket;USA;;USA
Infinity Ward;infinity_ward;Infinity Ward;USA;Microsoft Corporation;USA
INFOARISE Co., Ltd.;infoarise;INFOARISE;JPN;;JPN
Infocom;infocom;Infocom;USA;Microsoft Corporation;USA
Infocom, Inc.;infocom;Infocom;USA;Microsoft Corporation;USA
Infogrames;infogrames;Infogrames;FRA;Atari SA;FRA
Infogrames Europe SA;infogrames;Infogrames;FRA;Atari SA;FRA
Infogrames Melbourne;infogrames_melbourne;Infogrames;FRA;Atari SA;AUS
Infogrames Sheffield / Team17 Software;infogrames_sheffield_team17;Infogrames;GBR;Infogrames;GBR
Infogrames Sheffield House;infogrames_sheffield;Infogrames;FRA;Atari SA;GBR
Infogrammes Studios;infogrames_studios;Infogrames;FRA;Atari SA;FRA
Infomedia;infomedia;Infomedia;JPN;;JPN
Infrogrames;infogrames;Infogrames;FRA;Atari SA;FRA
Infuse Studio;infuse_studio;Infuse Studio;USA;;USA
Infusion Games Ltd;infusion_games;Infusion Games;EST;;EST
Ingame Studios;ingame_studios;Ingame Studios;CZE;;CZE
in-glove Co., ltd;in_glove;In Glove;JPN;;JPN
Ingram Entertainment;ingram_ent;Ingram Entertainment;USA;;USA
In-house;in_house;In House;USA;;USA
ININ Games;inin_games;United Games Entertainment;DEU;;DEU
iNiS;inis;INiS;JPN;;JPN
inkle;inkle;Inkle;GBR;;GBR
Inland Productions;inland_productions;Inland Productions;USA;;USA
InLight Entertainment;inlight_ent;InLight Entertainment;USA;;USA
Inlogic Software;inlogic_software;Inlogic Software;SVK;;SVK
Inner Workings, Ltd.;inner_workings;Inner Workings;GBR;;GBR
Innerloop;innerloop;Innerloop Studios;NOR;;NOR
Innerloop Studios;innerloop;Innerloop Studios;NOR;;NOR
Innerprise Software;innerprise_software;Innerprise Software;USA;;USA
Innerprise Software, Inc.;innerprise_software;Innerprise Software;USA;;USA
Innersloth;innersloth;Innersloth;USA;;USA
Innocent Grey;innocent_grey;Innocent Grey;JPN;;JPN
InnoGames;innogames;InnoGames;SWE;Modern Times Group;DEU
Innovative Design Software;innovative_design;Innovative Design;USA;;USA
Ino-Co;ino_co;Ino Co;RUS;1C Company;RUS
Ino-Co / 1C Company;ino_co_1c;Ino Co;RUS;1C Company;RUS
Inside System;inside_system;Inside System;JPN;;JPN
Insomniac Games;insomniac_games;Insomniac Games;JPN;Sony Interactive Entertainment;USA
Intec;intec;Intec;JPN;;JPN
Intelek;intelek;Intelek;JPN;;JPN
IntelliCreations, Inc., Pacific Softech Inc.;intellicreations;IntelliCreations;USA;;USA
Intelligent Design;intelligent_design;Intelligent Design;GBR;;GBR
Intelligent Design Ltd.;intelligent_design;Intelligent Design;GBR;;GBR
Intelligent Games;intelligent_games;Intelligent Games;GBR;;GBR
Intelligent Games, Ltd.;intelligent_games;Intelligent Games;GBR;;GBR
Intelligent Systems;intelligent_systems;Intelligent Systems;JPN;Nintendo;JPN
Intellimedia;intellimedia;Intellimedia;USA;;USA
Intelliplay;intelliplay;Intelliplay;USA;;USA
Intellivision Productions;intellivision_prod;Blue Sky Rangers;USA;;USA
Intellivision Productions Inc.;intellivision_prod;Blue Sky Rangers;USA;;USA
Intense;intense;Intense;JPN;;JPN
Intense Entertainment;intense_ent;Intense Entertainment;USA;;USA
Intense/Tomcat System;intense_tomcat;Intense Entertainment;JPN;;JPN
Inter State;inter_state;Inter State;JPN;;JPN
Interabang Entertainment;interabang_ent;Interabang Entertainment;USA;;USA
InterAction studios;interaction_studios;InterAction Studios;GRC;;GRC
InterAction Studios;interaction_studios;InterAction Studios;GRC;;GRC
Interactive Binary Illusions;interactive_binary;Binary Illusions;USA;;USA
Interactive Designs;interactive_designs;Interactive Designs;JPN;Sega Sammy Holdings;USA
Interactive Entertainment;interactive_ent;Interactive Entertainment;USA;;USA
Interactive Imagination;interactive_imagination;Interactive Imagination;USA;;USA
Interactive Magic;interactive_magic;I Magic;USA;;USA
Interactive Pictures;interactive_pictures;Interactive Pictures;USA;;USA
Interactive Strip;interactive_strip;Interactive Strip;GBR;;GBR
Interactive Studios;interactive_studios;Blitz Games;GBR;;GBR
Interactive Studios Ltd.;interactive_studios;Blitz Games;GBR;;GBR
InterActive Vision Games;interactive_vision;InterActive Vision;DNK;;DNK
Interactivision;interactivision;Interactivision;DNK;;DNK
Interceptor Entertainment;slipgate_ironworks;Slipgate Ironworks;SWE;Embracer Group;DNK
Interchannel;interchannel;Interchannel;JPN;GungHo Online;JPN
Interchannel Inc.;interchannel;Interchannel;JPN;GungHo Online;JPN
Interchannel-Holon;interchannel;Interchannel;JPN;GungHo Online;JPN
Interchannel-Holon Inc.;interchannel;Interchannel;JPN;GungHo Online;JPN
interfaceKO;interfaceko;InterfaceKO;JPN;;JPN
Intergrow;intergrow;Intergrow;JPN;;JPN
InterHeart;interheart;InterHeart;JPN;;JPN
Interior/Night;interior_night;Interior Night;GBR;;GBR
Interlas;interlas;Interlas;JPN;;JPN
Interlink;interlink;Interlink;JPN;;JPN
Intermarum;intermarum;Intermarum;POL;;POL
International Games System Co., Ltd;igs;International Games System;TWN;;TWN
International PC Owners;ipco;IPCO;USA;;USA
Internet Gaming Gate;igg;Internet Gaming Gate;SGP;;SGP
InterOne;interone;InterOne;JPN;;JPN
Interotica;interotica;Interotica;USA;;USA
Interphase;interphase;Interphase;GBR;;GBR
Interplay;interplay;Interplay Entertainment;USA;;USA
Interplay Entertainment;interplay;Interplay Entertainment;USA;;USA
Interplay Entertainment Corp.;interplay;Interplay Entertainment;USA;;USA
Interplay Productions;interplay;Interplay Entertainment;USA;;USA
Interplay Productions, Inc;interplay;Interplay Entertainment;USA;;USA
Interplay Productions, Inc.;interplay;Interplay Entertainment;USA;;USA
InterServ International;interserv_int;InterServ International;TWN;;TWN
InterServ International Inc.;interserv_int;InterServ International;TWN;;TWN
Interstel;interstel;Interstel;USA;;USA
Interstellar;interstellar;Interstellar;JPN;;JPN
InterWave Studios;interwave_studios;InterWave Studios;NLD;;NLD
Interworks Unlimited, Inc.;interworks_unlimited;Interworks Unlimited;USA;;USA
Inti Creates;inti_creates;Inti Creates;JPN;;JPN
Intoxicate Interactive;intoxicate_interactive;Intoxicate Interactive;POL;;POL
IntraCorp;intracorp;IntraCorp;USA;;USA
Intragames;intragames;Intragames;KOR;;KOR
Intragames Co.,Ltd.;intragames;Intragames;KOR;;KOR
Intrepid Software Solutions, Inc.;intrepid_software;Intrepid Software;USA;;USA
Intrinsic Games;intrinsic_games;Intrinsic Games;USA;;USA
Introversion;introversion_software;Introversion Software;GBR;;GBR
Introversion Software;introversion_software;Introversion Software;GBR;;GBR
INTV;intv_corp;INTV Corporation;USA;;USA
INTV Corporation;intv_corp;INTV Corporation;USA;;USA
Invader Studios;invader_studios;Invader Studios;ITA;;ITA
Invent4 Entertainment;invent4_ent;Invent4 Entertainment;BRA;;BRA
InvertMouse;invertmouse;InvertMouse;AUS;;AUS
Invex;invex;Invex;JPN;;JPN
Invictus;invictus_games;Invictus Games;SWE;Zordix AB;HUN
Invictus Games;invictus_games;Invictus Games;SWE;Zordix AB;HUN
Invictus Games Ltd;invictus_games;Invictus Games;SWE;Zordix AB;HUN
Invincible Cat;invincible_cat;Invincible Cat;USA;;USA
Invisible Handlebar;invisible_handlebar;Invisible Handlebar;USA;;USA
InVision Entertainment;invision_ent;InVision Entertainment;USA;;USA
inXile;inxile_entertainment;InXile Entertainment;USA;Microsoft Corporation;USA
inXile Entertainment;inxile_entertainment;InXile Entertainment;USA;Microsoft Corporation;USA
IO Design Group Inc.;io_design_group;IO Design Group;USA;;USA
IO Entertainment;io_entertainment;IO Entertainment;JPN;;JPN
IO Interactive;io_interactive;IO Interactive;DNK;;DNK
iocaine studios;iocaine_studios;Iocaine studios;USA;;USA
IOMO;iomo;Infospace;GBR;;GBR
Ion Lands;ion_lands;Ion Lands;DEU;;DEU
Ion Storm;ion_storm;Ion Storm;SWE;Embracer Group;USA
Ion Storm Inc.;ion_storm;Ion Storm;SWE;Embracer Group;USA
IonFX;ionfx;IonFX;USA;;USA
Iota;iota;Iota;JPN;;JPN
IPC Software;ipc_software;IPC Software;JPN;;JPN
IR Gurus;ir_gurus;Transmission Games;AUS;;AUS
IR Gurus Interactive;ir_gurus;Transmission Games;AUS;;AUS
IR Gurus Interactive Ltd.;ir_gurus;Transmission Games;AUS;;AUS
Irem Corp.;irem;Irem Corporation;JPN;;JPN
Irem Software Engineering;irem;Irem Corporation;JPN;;JPN
Iridion Interactive AB;iridion_interactive;Iridion Interactive;SWE;;SWE
Iridium;iridium_studios;Iridium Studios;USA;;USA
Iridium Studios;iridium_studios;Iridium Studios;USA;;USA
Iridon Interactive;iridon_interactive;Iridon Interactive;SWE;;SWE
Iridon Interactive AB;iridon_interactive;Iridon Interactive;SWE;;SWE
Iris;iris;Iris;JPN;;JPN
iRock Entertainment;irock_ent;IRock Entertainment;USA;;USA
iRock Interactive;irock_ent;IRock Entertainment;USA;;USA
Iron Galaxy;iron_galaxy_studios;Iron Galaxy Studios;USA;;USA
Iron Galaxy Studios;iron_galaxy_studios;Iron Galaxy Studios;USA;;USA
Iron Gate AB;iron_gate;Iron Gate Studio;SWE;;SWE
Iron Lore;iron_lore;Iron Lore Entertainment;USA;;USA
Iron Lore Entertainment;iron_lore;Iron Lore Entertainment;USA;;USA
Iron Monkey;iron_monkey;Iron Monkey;GBR;;GBR
Iron Square;iron_square;Iron Square;JPN;;JPN
Iron Tower Studio;iron_tower_studio;Iron Tower Studio;CAN;;CAN
Ironclad Games;ironclad_games;Ironclad Games;CAN;;CAN
Ironhide Game Studio;ironhide_game_studio;Ironhide Game Studio;URY;;URY
IronNos Co., Ltd.;ironnos;IronNos;KOR;;KOR
IronNosÂ Corp.;ironnos;IronNos;KOR;;KOR
IronOak Games;ironoak_games;IronOak Games;SWE;Embracer Group;CAN
Ironsun Studios;ironsun_studios;Ironsun Studios;GBR;;GBR
Ironwood Studios;ironwood_studios;Ironwood Studios;USA;;USA
Irrational Games;irrational_games;Ghost Story Games;USA;Take Two Interactive;USA
Irrational Games / Looking Glass Studios;irrational_looking_glass;Irrational;USA;Take Two Interactive;USA
Irshappa;irshappa;Irshappa;JPN;;JPN
Irvin Vaush;irvin_vaush;Irvin Vaush;USA;;USA
Isao;isao;ISAO Corporation;JPN;;JPN
Isayonline Services;isayonline;Isayonline;USA;;USA
Isbit Games;isbit_games;Isbit Games;SWE;;SWE
ISCO;isco;ISCO;JPN;;JPN
IshiEiketsu;ishieiketsu;IshiEiketsu;JPN;;JPN
IshSaid;ishsaid;IshSaid;USA;;USA
Island Creation;island_creation;Island Creation;JPN;;JPN
Island Officials;island_officials;Island Officials;USA;;USA
Isopod Labs;isopod_labs;Isopod Labs;USA;;USA
Isopod Labs, LLC;isopod_labs;Isopod Labs;USA;;USA
Isotope 244;isotope_244;Isotope 244;USA;;USA
Isotope 244 LLC;isotope_244;Isotope 244;USA;;USA
Isotx;isotx;Isotx;NLD;;NLD
ISP;isp;ISP;JPN;;JPN
Isquared Games;isquared_games;Isquared Games;GBR;;GBR
iSquared Games;isquared_games;Isquared Games;GBR;;GBR
ISVR;isvr;ISVR;USA;;USA
ITE Media;ite_media;ITE Media;DNK;;DNK
ITL;itl;ITL;JPN;;JPN
It's Anecdotal;its_anecdotal;Its Anecdotal;NZL;;NZL
Itsui;itsui;Itsui;JPN;;JPN
ITT Family Games;itt_family_games;ITT Family Games;USA;;USA
IV Productions;iv_productions;IV Productions;ITA;;ITA
Ivan Zanotti's MyMadness Works;ivan_zanotti;MyMadness Works;ITA;;ITA
Ivanovich Games;ivanovich_games;Ivanovich Games;ESP;;ESP
Ivolgamus;ivolgamus;Ivolgamus;LTU;;LTU
Ivolgamus UAB;ivolgamus;Ivolgamus;LTU;;LTU
Ivory Tower;ivory_tower;Ivory Tower;FRA;Ubisoft;FRA
Iwasaki Electronics Co., Ltd.;iwasaki_electronics;Iwasaki Electronics;JPN;;JPN
iWin;iwin;iWin;USA;;USA
iWin, Inc.;iwin;iWin;USA;;USA
iworkedatsubway;iworkedatsubway;Iworkedatsubway;USA;;USA
Ix Entertainment;ix_ent;Ix Entertainment;JPN;;JPN
Izanagi Games;izanagi_games;IzanagiGames;JPN;;JPN
Jack of All Games;jack_of_all_games;Jack of All Games;USA;;USA
Jack Pot;jack_pot;Jack Pot;JPN;;JPN
Jack Pot / Clary;jack_pot_clary;Jack Pot;JPN;;JPN
JackandLisa;jackandlisa;JackandLisa;USA;;USA
Jackbox Games;jackbox_games;Jackbox Games;USA;;USA
jacob aaronson;jacob_aaronson;Jacob Aaronson;USA;;USA
JAD Entertainment LLC;jad_entertainment;JAD Entertainment;USA;;USA
Jagex Games Studio;jagex_games;Jagex;GBR;Jagex;GBR
Jagglestein;jagglestein;Jagglestein;USA;;USA
Jaguar;jaguar;Jaguar;JPN;;JPN
Jagware;jagware;Jagware;GBR;;GBR
Jaibo Games;jaibo_games;Jaibo Games;USA;;USA
JAKKS Pacific;jakks_pacific;Jakks Pacific;USA;;USA
Jakub DvorskÃ½;jakub_dvorsky;Jakub Dvorsky;CZE;;CZE
Jaleco;jaleco;Jaleco;JPN;PCCW;JPN
Jaleco Entertainment;jaleco_ent;Jaleco;JPN;PCCW;USA
Jaleco Ltd.;jaleco;Jaleco;JPN;PCCW;JPN
JAM;jam;Japan Art Media (JAM);JPN;;JPN
JAM Productions;jam_productions;Japan Art Media (JAM);USA;;USA
Jamdat Mobile;jamdat_mobile;EA Mobile;USA;Electronic Arts;USA
JamesH;jamesh;JamesH;USA;;USA
Jamezila;jamezila;Jamezila;USA;;USA
Jamie Lutzuver;jamie_lutzuver;Jamie Lutzuver;GBR;;GBR
Jamo Games;jamo_games;Jamo Games;USA;;USA
JanduSoft;jandusoft;JanduSoft;ESP;;ESP
JanduSoft S.L.;jandusoft;JanduSoft;ESP;;ESP
Janelle;janelle;Janelle;USA;;USA
Jane's Combat Simulations;janes_combat_sims;Janes Combat Sims;USA;Electronic Arts;USA
Janes' Combat Simulators;janes_combat_sims;Janes Combat Sims;USA;Electronic Arts;USA
Jane's Fighters Anthology;janes_fighters;Janes Fighters;USA;Electronic Arts;USA
Janis;janis;Janis;JPN;;JPN
Japan Art Media;japan_art_media;Japan Art Media (JAM);JPN;;JPN
Japan Art Media (JAM);japan_art_media;Japan Art Media (JAM);JPN;;JPN
Japan Media Programming Inc. (JAMP);japan_media_prog;JAMP;JPN;;JPN
JAPAN Studio / Artoon;japan_studio_artoon;JAPAN Studio / Artoon;JPN;Sony Interactive Entertainment;JPN
Japan Supply System;japan_supply_system;Japan Supply System;JPN;;JPN
Japan System Supply;japan_system_supply;Japan Supply System;JPN;;JPN
Jarbit;jarbit;Jarbit;JPN;;JPN
Jarhead Games;jarhead_games;Jarhead Games;CAN;;CAN
Jason Keiderling;jason_keiderling;Jason Keiderling;USA;;USA
Jason Rohrer;jason_rohrer;Jason Rohrer;USA;;USA
Jast;jast_usa;Jast America;JPN;Jast Company;USA
JAST Co., Ltd.;jast;Jast Company;JPN;Jast Company;JPN
JAST Japan;jast;Jast Company;JPN;Jast Company;JPN
JAVELIN OÃœ;javelin_ou;JAVELIN;EST;;EST
Jay24w;jay24w;Jay24w;USA;;USA
JB Marius-Sheridan;jb_marius_sheridan;JB Marius Sheridan;USA;;USA
JC Research;jc_research;JC Research;JPN;;JPN
JCKSLAP;jckslap;JCKSLAP;USA;;USA
JDPCreations;jdpcreations;JDPCreations;USA;;USA
JeBuS;jebus;JeBuS;USA;;USA
Jeff Tunnell Productions;jeff_tunnell_prod;Dynamix (Legacy);USA;;USA
Jellyvision;jellyvision;Jackbox Games;USA;;USA
Jellyvision, Inc.;jellyvision;Jackbox Games;USA;;USA
Jennies;jennies;Jennies;JPN;;JPN
JeppeN;jeppen;JeppeN;DNK;;DNK
Jeremy Littel;jeremy_littel;Jeremy Littel;USA;;USA
JeremyVerchick48;jeremyverchick48;JeremyVerchick48;USA;;USA
Jerome Labbe;jerome_labbe;Jerome Labbe;FRA;;FRA
Jesse Demarco;jesse_demarco;Jesse Demarco;USA;;USA
Jesse Makkonen;jesse_makkonen;Jesse Makkonen;FIN;;FIN
Jester Interactive;jester_interactive;Jester Interactive;GBR;;GBR
Jet Black Games;jet_black_games;Jet Black Games;CAN;;CAN
Jetdogs Studios;jetdogs_studios;Jetdogs Studios;FIN;;FIN
JEWEL MASTER;jewel_master;JEWEL MASTER;JPN;;JPN
JFI Games;jfi_games;JFI Games;TWN;;TWN
J-Force;j_force;JForce Games;JPN;;JPN
JForce Games;jforce_games;JForce Games;USA;;USA
JGI Entertainment;jgi_entertainment;JGI Entertainment;USA;;USA
Jhample;jhample;Jhample;JPN;;JPN
jijaweb;jijaweb;Jijaweb;RUS;;RUS
JimmyFo;jimmyfo;JimmyFo;USA;;USA
JinCycle;jincycle;JinCycle;JPN;;JPN
Jinx;jinx;Jinx;USA;;USA
Jiscsoft Co., Ltd.;jiscsoft;Jiscsoft;JPN;;JPN
JJCgames;jjcgames;JJCgames;GBR;;GBR
JJJ;jjj;JJJ;JPN;;JPN
JMJ Interactive;jmj_interactive;JMJ Interactive;SWE;;SWE
Joakim Sandberg;joakim_sandberg;Joakim Sandberg;SWE;;SWE
Joe Williams;joe_williams;Joe Williams;GBR;;GBR
Joey Drew Studios Inc.;joey_drew_studios;Joey Drew Studios;USA;;USA
John Mitchell;john_mitchell;John Mitchell;USA;;USA
John W. Ratcliff;john_ratcliff;John W Ratcliff;USA;;USA
John Wordsworth;john_wordsworth;John Wordsworth;GBR;;GBR
Johnny Death;johnny_death;Johnny Death;USA;;USA
johnstr;johnstr;Johnstr;USA;;USA
Joindots;joindots;Joindots;DEU;;DEU
jojito;jojito;Jojito;JPN;;JPN
Joju Games;joju_games;Joju Games;USA;;USA
JoMasta;jomasta;JoMasta;JPN;;JPN
Jo-Mei Games;jomei_games;Jo Mei Games;DEU;;DEU
Jonas Kyratzes;jonas_kyratzes;Jonas Kyratzes;GRC;;GRC
Jonas Manke;jonas_manke;Jonas Manke;DEU;;DEU
Jonathan Partington & Jon Thackray;partington_thackray;Partington & Thackray;GBR;;GBR
Jorudan;jorudan;Jorudan;JPN;;JPN
Jorudan Co.;jorudan;Jorudan;JPN;;JPN
Jose Varela;jose_varela;Jose Varela;USA;;USA
Joseph Rothenberg;joseph_rothenberg;Joseph Rothenberg;USA;;USA
Josh Schonstal;josh_schonstal;Josh Schonstal;USA;;USA
Joshyy;joshyy;Joshyy;USA;;USA
JoWood;jowood;JoWooD Entertainment;SWE;Embracer Group;AUT
JoWooD Entertainment;jowood;JoWooD Entertainment;SWE;Embracer Group;AUT
JoWooD Entertainment AG;jowood;JoWooD Entertainment;SWE;Embracer Group;AUT
JoWooD Entertianment;jowood;JoWooD Entertainment;SWE;Embracer Group;AUT
JoWood Productions;jowood;JoWooD Entertainment;SWE;Embracer Group;AUT
JoWood Productions & Piranha Bytes;jowood_piranha;JoWooD Entertainment;SWE;Embracer Group;DEU
Joy Van;joy_van;Joy Van;TWN;;TWN
Joycity;joycity;Joycity;KOR;;KOR
